Time,x,y,z,q1,q2,q3,q4,qdot1,qdot2,qdot3,qdot4
0,-0.09,0,0.473,1.5794605357488e-16,0.323292307670204,-0.0205005468922819,5.90742292494722,-0,0,0,-0
0.1,-0.0897351392,0,0.4727298112,1.56163945332976e-16,0.325335816204354,-0.0189163973860694,5.90170146452711,-6.26959075371738e-17,0.0786751657818418,0.0571258961991213,-0.210181813446329
0.2,-0.0889548736,0,0.4719338496,1.46912818626449e-16,0.336167070657386,-0.0108119989803406,5.87287815096169,-5.92691995453124e-17,0.142226942583553,0.109578229914733,-0.373001193265449
0.3,-0.0876806784,0,0.4706340224,1.32841765615562e-16,0.35286305001219,0.00251330787668791,5.82937975704796,-1.84185766915212e-16,0.185993353845816,0.154752916850094,-0.477790592156184
0.4,-0.0859340288,0,0.4688522368,1.15275110151473e-16,0.372919623595475,0.0198188907221113,5.77807569445357,-8.96316806251371e-17,0.213140441748393,0.191821585452788,-0.539102374028081
0.5,-0.0837364,0,0.4666104,9.64065993043391e-17,0.394883357668604,0.0403026996439478,5.72256708861266,-1.88215121317562e-16,0.228036663113355,0.221492515984274,-0.57222964220041
0.6,-0.0811092672,0,0.4639304192,7.52857587519495e-17,0.418072943557912,0.0636429935272402,5.6642074342607,-3.26460431260443e-16,0.23388569610438,0.244909355925494,-0.586994156789303
0.7,-0.0780741056,0,0.4608342016,5.31678907759666e-17,0.441393580076158,0.0889397512700047,5.605299756399,-2.16462412443898e-16,0.233803691065871,0.263643657153697,-0.591583201061141
0.8,-0.0746523904,0,0.4573436544,2.91664735741866e-17,0.464487765762557,0.115934904591907,5.54627769498707,-2.27744985210453e-16,0.229317259737037,0.278722023937934,-0.589551518223556
0.9,-0.0708655968,0,0.4534806848,3.89016065801106e-18,0.487100303495592,0.144473944708874,5.48733942735153,-1.89670812681574e-16,0.221410491256375,0.290923598522053,-0.58299493482452
1,-0.0667352,0,0.4492672,-2.30972250667934e-17,0.508692756666053,0.173988534599381,5.42948726334512,-3.08999267620009e-16,0.211161864091932,0.301050311977033,-0.574038110900839
1.1,-0.0622826752,0,0.4447251072,-5.33179374081506e-17,0.52916337527353,0.204437406412999,5.37262926187359,-2.67349159644593e-16,0.198908872218048,0.30949068040095,-0.563181301754104
1.2,-0.0575294976,0,0.4398763136,-8.59085787600781e-17,0.548329559004218,0.235670150287772,5.31692532431167,-4.7223131512118e-16,0.184986738489765,0.316587219152488,-0.550926526231307
1.3,-0.0524971424,0,0.4347427264,-1.23942911368801e-16,0.566102730749321,0.267694956667227,5.26228276549951,-3.1394118016197e-16,0.169528531993083,0.322547637106899,-0.537403610533742
1.4,-0.0472070848,0,0.4293462528,-1.68095173680359e-16,0.582206977526134,0.300153493426087,5.20924032005925,-2.91948282335405e-16,0.152899918183411,0.32764198145622,-0.523117803160419
1.5,-0.0416808,0,0.4237088,-2.22291154274083e-16,0.596592695800014,0.333085280528729,5.15766975193933,-5.57953510878864e-16,0.135124439109956,0.331951634260447,-0.507974557211091
1.6,-0.0359397632,0,0.4178522752,-2.91559597396359e-16,0.609150216440423,0.366416709860544,5.1076533382338,-8.73423007177527e-16,0.116300586457088,0.335560843708262,-0.492000511286192
1.7,-0.0300054496,0,0.4117985856,-3.85483695701041e-16,0.619778655500679,0.40007982319298,5.05927422931783,-1.23675883405e-15,0.0965160452550467,0.338518984355873,-0.47518963042623
1.8,-0.0238993344,0,0.4055696384,-5.26362648916702e-16,0.628385789042017,0.434010153049175,5.01261732695455,-1.61671096914936e-15,0.0758565944259116,0.340845093378598,-0.457514884396082
1.9,-0.0176428928,0,0.3991873408,-7.62291177655361e-16,0.63488826097815,0.468143859977828,4.96777087483465,-3.2846858188703e-15,0.0544139639712467,0.342531146607449,-0.438937922021814
2,-0.0112576,0,0.3926736,-1.26287668706106e-15,0.639212507914817,0.502415137150483,4.92482719597757,-7.67767199609199e-15,0.0322923948738574,0.343544346715587,-0.419416959669211
2.1,-0.00476493119999997,0,0.3860503232,-3.10127104250086e-15,0.641296290810844,0.536753821059461,4.8838826882799,-4.42086347451138e-14,0.00961418729506128,0.343828984100555,-0.39891385639391
2.2,0.00181363840000004,0,0.3793394176,9.19695063240258e-15,0.64109073656793,0.571083190021457,4.84503712611154,-3.46698199341882e-13,-0.0134757015016126,0.343308369083631,-0.377400993319733
2.3,0.00845663360000005,0,0.3725627904,1.90852987919088e-15,0.638562790277121,0.605317981575778,4.80839226986507,-1.38172607039472e-14,-0.0368061078965433,0.341887335099633,-0.354868263383553
2.4,0.0151425792,0,0.3657423488,1.10615234617515e-15,0.633697962423505,0.639362708484157,4.77404976608188,-4.86780018218276e-15,-0.0601773841892435,0.339455781702179,-0.331330250858678
2.5,0.02185,0,0.3589,7.85409438561221e-16,0.626503228831946,0.673110398199091,4.74210832527811,-2.09228950823685e-15,-0.0833606891911689,0.335893684782354,-0.30683342271449
2.6,0.0285574208,0,0.3520576512,6.14744450891858e-16,0.61700991006513,0.706441918389841,4.71266019320446,-1.44375379729667e-15,-0.106099156288569,0.331077892682827,-0.281462925253312
2.7,0.0352433664,0,0.3452372096,5.07296820543598e-16,0.60527632765989,0.739226073568552,4.6857869836061,-6.70880270520379e-16,-0.128111206146077,0.324890809454319,-0.255348360788702
2.8,0.0418863616,0,0.3384605824,4.33856862215272e-16,0.59139001396009,0.771320654345926,4.66155501270166,-5.51039735219234e-16,-0.149096128843106,0.317230782618811,-0.228667722944133
2.9,0.0484649312,0,0.3317496768,3.80834137037933e-16,0.575469249121309,0.802574583445577,4.64001036189051,-8.00183584217643e-16,-0.168741871851283,0.308023595278288,-0.201648627273905
3,0.0549576000000001,0,0.3251264,3.40667047573891e-16,0.557663718503715,0.832831222788854,4.62117398034063,-1.58305332548125e-16,-0.186734700240857,0.297234059895471,-0.174566034446531
3.1,0.0613428928,0,0.3186126592,3.09478373646785e-16,0.538154130830518,0.861932787015682,4.60503720712288,-3.11515451643781e-16,-0.202770134129286,0.284876338908541,-0.147735965401678
3.2,0.0675993344,0,0.3122303616,2.8442235635612e-16,0.517150710365197,0.889725661556682,4.59155812246814,-3.51278430177999e-16,-0.216564323666435,0.271021449711408,-0.121505162346218
3.3,0.0737054495999999,0,0.3060014144,2.64745055558219e-16,0.494890568897711,0.916066272218274,4.58065911449353,-2.87968981404584e-16,-0.227864885159293,0.255800516356284,-0.0962372379240654
3.4,0.0796397632,0,0.2999477248,2.47916395557964e-16,0.471634063639781,0.940827028789513,4.57222596411746,-2.49241439369491e-16,-0.236460202184647,0.239402775036372,-0.0722964406185319
3.5,0.0853808,0,0.2940912,2.34319165406622e-16,0.447660341101853,0.963901798795015,4.56610861484642,-1.83171086602318e-16,-0.242186334393007,0.222068047723544,-0.0500305958852636
3.6,0.0909070848,0,0.2884537472,2.22906649697305e-16,0.42326234002506,0.985210379565732,4.5621236263021,-1.51875203789208e-16,-0.244930944252376,0.20407423682157,-0.0297549454098222
3.7,0.0961971424,0,0.2830572736,2.13586331252456e-16,0.398741567530445,1.00470153026803,4.56005814140328,-5.83220748797108e-17,-0.244634004175411,0.185721150816984,-0.0117384629614744
3.8,0.1012294976,0,0.2779236864,2.05460707387237e-16,0.374402966180145,1.02235428305397,4.55967505803892,-1.20389938854906e-16,-0.241285430503526,0.167312466161525,0.00380622298975303
3.9,0.1059826752,0,0.2730748928,1.98833733814859e-16,0.350652607409464,1.03811369913366,4.56071062369585,-9.78797367989212e-17,-0.234887927139211,0.149173639144093,0.016674003886168
4,0.1104352,0,0.2685328,1.92919287944009e-16,0.327581490284476,1.05215008490081,4.56290976773056,2.20164518452241e-17,-0.225584102402546,0.131489544548949,0.026895093437255
4.1,0.1145655968,0,0.2643193152,1.88410713072242e-16,0.305580853455953,1.06445403580336,4.56599724898343,-1.06612585314535e-16,-0.213440041184245,0.114513167150765,0.0343849049593662
4.2,0.1183523904,0,0.2604563456,1.8454129162211e-16,0.284929944186811,1.0751037696901,4.56970073417304,-3.61152374763786e-17,-0.198581099454098,0.0984074083245211,0.0391775256686608
4.3,0.1217741056,0,0.2569657984,1.81399118785479e-16,0.266009149371206,1.08413927740563,4.57372701994064,-5.91497271266192e-17,-0.181129201855861,0.0833047656906677,0.0413237573567625
